nombre_embalse	fecha	hora	cota
MACHICURA	2022-01-02	3	256,68
MAULE	2022-01-02	3	2161,01
MELADO	2022-01-02	3	641,74
PANGUE	2022-01-02	3	509,57
POLCURA	2022-01-02	3	735,02
RALCO	2022-01-02	3	720,09
RAPEL	2022-01-02	3	104,01
ANGOSTURA	2022-01-02	4	316,55
CHAPO	2022-01-02	4	235,1
COLBUN	2022-01-02	4	429,9
INVERNADA	2022-01-02	4	1293,15
LAJA	2022-01-02	4	1319,23
MACHICURA	2022-01-02	4	256,71
MAULE	2022-01-02	4	2161,02
MELADO	2022-01-02	4	641,86
PANGUE	2022-01-02	4	509,58
POLCURA	2022-01-02	4	734,99
RALCO	2022-01-02	4	720,09
RAPEL	2022-01-02	4	104,01
ANGOSTURA	2022-01-02	5	316,57
CHAPO	2022-01-02	5	235,14
COLBUN	2022-01-02	5	429,89
INVERNADA	2022-01-02	5	1293,15
LAJA	2022-01-02	5	1319,23
MACHICURA	2022-01-02	5	256,71
MAULE	2022-01-02	5	2161,01
MELADO	2022-01-02	5	641,96
PANGUE	2022-01-02	5	509,59
POLCURA	2022-01-02	5	734,94
RALCO	2022-01-02	5	720,08
RAPEL	2022-01-02	5	104,01
ANGOSTURA	2022-01-02	6	316,55
CHAPO	2022-01-02	6	235,14
COLBUN	2022-01-02	6	429,88
INVERNADA	2022-01-02	6	1293,15
LAJA	2022-01-02	6	1319,23
MACHICURA	2022-01-02	6	256,73
MAULE	2022-01-02	6	2161,01
MELADO	2022-01-02	6	642,07
PANGUE	2022-01-02	6	509,6
POLCURA	2022-01-02	6	734,91
RALCO	2022-01-02	6	720,08
RAPEL	2022-01-02	6	104,01
ANGOSTURA	2022-01-02	7	316,5
CHAPO	2022-01-02	7	235,15
COLBUN	2022-01-02	7	429,87
INVERNADA	2022-01-02	7	1293,14
LAJA	2022-01-02	7	1319,23
MACHICURA	2022-01-02	7	256,78
MAULE	2022-01-02	7	2161,01
MELADO	2022-01-02	7	642,16
PANGUE	2022-01-02	7	509,61
POLCURA	2022-01-02	7	734,9
RALCO	2022-01-02	7	720,09
RAPEL	2022-01-02	7	104,01
ANGOSTURA	2022-01-02	8	316,53
CHAPO	2022-01-02	8	235,16
COLBUN	2022-01-02	8	429,86
INVERNADA	2022-01-02	8	1293,14
LAJA	2022-01-02	8	1319,23
MACHICURA	2022-01-02	8	256,75
MAULE	2022-01-02	8	2161,01
MELADO	2022-01-02	8	642,26
PANGUE	2022-01-02	8	509,58
POLCURA	2022-01-02	8	734,86
RALCO	2022-01-02	8	720,08
RAPEL	2022-01-02	8	104,01
ANGOSTURA	2022-01-02	9	316,55
CHAPO	2022-01-02	9	235,18
COLBUN	2022-01-02	9	429,86
INVERNADA	2022-01-02	9	1293,15
LAJA	2022-01-02	9	1319,23
